element_type,osmid,nodes,addr:city,addr:housenumber,addr:postcode,addr:street,building,denomination,name,religion,website,geometry,layer,building:levels,shop,man_made,tourism,ways,type,amenity
relation,2816390,"[[[2199191778, 2199191782, 2199191783, 2199191771, 2199191770], [2199191778, 2199191779, 2199191770]]]",,,,,yes,,,,,"POLYGON ((49.0953932 53.8136233, 49.0953912 53.8136598, 49.0954941 53.8136618, 49.0954987 53.8135801, 49.0954631 53.8135794, 49.0954605 53.8136246, 49.0953932 53.8136233))",,,,,,"[209726488, 209726483]",multipolygon,
relation,2816391,"[[[2199191769, 2199191772, 2199191773], [2199191769, 2199191768, 2199191780, 2199191781, 2199191773]]]",,,,,yes,,,,,"POLYGON ((49.094819 53.8135695, 49.0947693 53.8135685, 49.094765 53.8136443, 49.0948588 53.8136461, 49.0948606 53.8136128, 49.0948166 53.813612, 49.094819 53.8135695))",,,,,,"[209726484, 209726487]",multipolygon,
relation,2816392,"[[[2199191743, 2199191744], [2199191739, 2199191734, 2199191735, 2199191731, 2199191730, 2199191732, 2199191733, 2199191737, 2199191736, 2199191743], [2199191744, 2199191738, 2199191739]]]",,,,,yes,,,,,"POLYGON ((49.0938968 53.8128638, 49.0940414 53.8128671, 49.0940523 53.8126989, 49.094192 53.8127021, 49.094202 53.8125479, 49.0945785 53.8125564, 49.0945863 53.8124366, 49.0933729 53.8124091, 49.0933651 53.8125294, 49.0940583 53.8125451, 49.0940518 53.8126444, 49.0939112 53.8126412, 49.0938968 53.8128638))",,,,,,"[209726481, 209726478, 209726485]",multipolygon,
relation,2816393,"[[[2199191744, 2199191738, 2199191739], [2199191739, 2199191745], [2199191745, 2199191744]]]",,,,,yes,,,,,"POLYGON ((49.0940414 53.8128671, 49.0941811 53.8128702, 49.094192 53.8127021, 49.0940523 53.8126989, 49.0940414 53.8128671))",,,,,,"[209726485, 209726480, 209726482]",multipolygon,
relation,2816394,"[[[2199191773, 2199191778], [2199191778, 2199191779, 2199191770], [2199191770, 2199191765, 2199191764, 2199191769], [2199191769, 2199191772, 2199191773]]]",,,,,yes,,,,,"POLYGON ((49.094819 53.8135695, 49.0948166 53.813612, 49.0948606 53.8136128, 49.0953932 53.8136233, 49.0954605 53.8136246, 49.0954631 53.8135794, 49.0954669 53.813512, 49.0948229 53.8134994, 49.094819 53.8135695))",,,,,,"[209726479, 209726483, 209726486, 209726484]",multipolygon,
relation,2820438,"[[[2203085325, 2203085329, 2203085333, 2203085275, 2203085270], [2203085270, 2203085325]]]",,,,,yes,,,,,"POLYGON ((49.0936339 53.8114319, 49.093632 53.8115022, 49.0943196 53.8115086, 49.0943284 53.8111772, 49.0936408 53.8111709, 49.0936339 53.8114319))",,,,,,"[210207955, 210207937]",multipolygon,
relation,2820439,"[[[2203085270, 2203085268, 2203085324, 2203085325], [2203085270, 2203085325]]]",,,,,yes,,,,,"POLYGON ((49.0936339 53.8114319, 49.0936408 53.8111709, 49.0934046 53.8111687, 49.0933976 53.8114297, 49.0936339 53.8114319))",,,,,,"[210207949, 210207937]",multipolygon,
relation,2845568,"[[[2230932686, 2230932684, 2230932576, 2230932578, 2230932690, 2230932688], [2230932688, 2230932686]]]",,9А,445146,улица Ворошилова,yes,,,,,"POLYGON ((49.0865647 53.8211643, 49.0867488 53.8211666, 49.0867655 53.8211662, 49.0867788 53.8208398, 49.0865592 53.8208385, 49.0865432 53.8211641, 49.0865647 53.8211643))",,,,,,"[213385690, 213385654]",multipolygon,hospital
relation,2845569,"[[[2230932707, 2230932703, 2230932738, 2230932737, 2230932799, 2230932803, 2230932742, 2230932744, 2230932809, 2230932813, 2230932745], [2230932745, 2230932743, 2230932707]]]",,,,,yes,,,,,"POLYGON ((49.086562 53.821239, 49.0861131 53.8212334, 49.0861094 53.8213361, 49.0860098 53.8213349, 49.0860057 53.8214523, 49.0862022 53.8214547, 49.086206 53.8213492, 49.0864553 53.8213523, 49.0864515 53.8214586, 49.0866431 53.8214609, 49.086647 53.8213531, 49.086558 53.821352, 49.086562 53.821239))",,,,,,"[213385648, 213385662]",multipolygon,
relation,2845570,"[[[2230931300, 2230931401, 2230931400, 2230931406, 2230931404, 2230931236, 2230931234, 2230931183, 2230931190, 2230931193], [2230931193, 2230931297, 2230931300]]]",,,,,supermarket,,,,,"POLYGON ((49.100097 53.8153169, 49.1000975 53.8153087, 49.0996197 53.8152987, 49.0996132 53.8154068, 49.0996949 53.8154085, 49.0996529 53.8161066, 49.1000409 53.8161148, 49.1000436 53.8160709, 49.1000969 53.816072, 49.1001279 53.8155578, 49.1000825 53.8155569, 49.100097 53.8153169))",,,,,,"[213385647, 213385659]",multipolygon,
