element_type,osmid,operator,railway,ref,geometry,location,man_made,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,name,opening_hours,phone,power,building,building:levels,substation,access,parking,fixme,wheelchair,shop,noname,tickets:public_transport,surface,name:ru,layer,nodes,building:flats,design:ref,start_date,height,building:colour,note:cadastre:id,year_of_construction,addr:housenumber2,building:material,roof:shape,abandoned,brand,contact:website,owner,design:note,construction,note,website,health_facility:type,healthcare,name:uk,official_short_type,pipeline,substance,utility,voltage,religion,social_facility,social_facility:for,education,education_form:parttime,education_level:primary,education_profile:music,education_system:ru_standard,landuse,building:min_level,power:output:hot_water,fee,female,male,check_date:opening_hours,toilets,denomination,shelter_type,leisure,sport,outdoor_seating,unisex,heating,voltage:primary,branch,frequency,check_date,roof:colour,roof:height,roof:material,contact:instagram,cuisine,drink:coffee,takeaway,service,service:vehicle:tyres,inscription,ways,type,name:en,old_name,old_name:de,old_name:en,roof:levels,smoking
relation,286862,,,,"POLYGON ((37.6588237 55.8538838, 37.6595657 55.8540234, 37.6596401 55.8538988, 37.6598091 55.8539306, 37.6600182 55.8535805, 37.6598492 55.8535487, 37.6598835 55.8534914, 37.6591415 55.8533517, 37.6591072 55.8534091, 37.6589405 55.8533777, 37.6587314 55.8537278, 37.6588981 55.8537592, 37.6588237 55.8538838), (37.6591985 55.8534486, 37.6597349 55.8535495, 37.6595511 55.8538574, 37.6590147 55.8537565, 37.6591985 55.8534486))",,,,10 к2,,улица Амундсена,school,,,,,yes,3,,,,,,,,,,,,"[[[529125989, 529125980, 529125981, 529125988, 529125977, 529125978, 529125990, 529125982, 529125983, 529125991, 529125979, 529125976, 529125989], [529125984, 529125985, 529125986, 529125987, 529125984]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[42389606, 42389607]",multipolygon,,,,,,
relation,3533569,,,,"POLYGON ((37.6574862 55.8444049, 37.6585201 55.8456624, 37.6592205 55.8465143, 37.6594473 55.8464538, 37.6594981 55.8465192, 37.660322 55.8463092, 37.6604397 55.8463315, 37.6608913 55.8464171, 37.6625084 55.8467234, 37.662808 55.8467802, 37.6637843 55.8466824, 37.6642357 55.8466372, 37.6643404 55.8465967, 37.664376 55.8466228, 37.6646588 55.8466013, 37.6647408 55.8465656, 37.6649029 55.8464898, 37.665026 55.8464372, 37.6651042 55.8464019, 37.6655926 55.8461947, 37.6658563 55.8461733, 37.665946 55.8461337, 37.6659976 55.8461627, 37.667074 55.8460696, 37.667199 55.8460177, 37.6672452 55.8460528, 37.6684804 55.8459446, 37.6673005 55.8451207, 37.666678 55.844686, 37.6666513 55.8446673, 37.6665958 55.8446286, 37.6660994 55.8448438, 37.6656524 55.8450353, 37.6641587 55.845685, 37.6641353 55.8456952, 37.6640507 55.8457297, 37.6639385 55.8457754, 37.6638838 55.8457999, 37.6637506 55.8458597, 37.6636494 55.8459025, 37.6635748 55.8459358, 37.6635075 55.8459649, 37.6630758 55.8458094, 37.6622422 55.8452761, 37.6621022 55.8451866, 37.6619809 55.8451419, 37.6616138 55.8448877, 37.6604729 55.8439637, 37.6603517 55.8438196, 37.6602547 55.8437012, 37.6602113 55.8436585, 37.6601786 55.8436417, 37.6601841 55.8436066, 37.6601775 55.8435688, 37.6601574 55.84353, 37.6600625 55.843401, 37.6600191 55.8433719, 37.6599702 55.8433556, 37.6599066 55.8433471, 37.6598471 55.8433497, 37.659792 55.8433614, 37.6597487 55.8433788, 37.6597144 55.8434037, 37.6596953 55.8434319, 37.6596923 55.843456, 37.6596943 55.8434825, 37.6597109 55.8435112, 37.6599299 55.8437724, 37.6596717 55.8438391, 37.6574862 55.8444049), (37.6600493 55.8435949, 37.6600491 55.8436056, 37.6600413 55.8436159, 37.6600277 55.8436247, 37.6600097 55.8436308, 37.6599879 55.8436327, 37.6599708 55.84363, 37.6599604 55.8436213, 37.6598312 55.8434703, 37.659824 55.843459, 37.659824 55.8434474, 37.6598296 55.8434374, 37.6598418 55.8434282, 37.6598584 55.8434225, 37.6598805 55.8434196, 37.6599023 55.8434201, 37.659924 55.8434265, 37.6599369 55.8434352, 37.6599458 55.8434454, 37.6600443 55.8435835, 37.6600493 55.8435949))",,,Москва,211 к2,129226,проспект Мира,,Европолис,Mo-Su 10:00-22:00,+7 495 9666498,,retail,,,,,,,mall,,,,,,"[[[2687247665, 2687247656, 2687247664, 573884292, 4261846164, 2721692075, 2687247403, 573884287, 2687247421], [8003908059, 573884289, 2687247675, 2687247671, 2687247674, 2687247665], [2687247713, 442978070, 1427085327, 2721692162, 8003908059], [8003908025, 573884290, 3842394193, 2687247722, 2687247712, 2687247716, 2687247713], [8003908024, 573884267, 1478773937, 2687247698, 573884271, 2687247700, 573884277, 9203243740, 8095418774, 8003908025], [573884269, 2687247267, 2687247215, 2687247203, 2687247198, 2687247180, 2687247151, 2687247134, 2687247086, 2687247078, 2687247072, 2687247069, 2687247070, 2687247074, 2687247080, 2687247088, 2687247097, 2687247107, 2687247118, 2687247128, 2479424981, 8003908024], [573884283, 573884285, 8095418772, 573884281, 2687247511, 1478773924, 573884269], [8003908058, 1478773934, 573884283], [2687247639, 2721692142, 1427085326, 8003908021, 590877508, 8003908058], [8003908060, 2687247638, 2687247639], [2687247421, 8003908060], [2687247159, 2687247102, 2687247098, 2687247095, 2687247092, 2687247091, 2687247093, 2687247096, 2687247099, 2687247104, 2687247111, 2687247114, 2687247183, 2687247188, 2687247191, 2687247190, 2687247186, 2687247182, 2687247179, 2687247176, 2687247159]]]",,,,25,,,,,,,,,,,,,Контур - со схемы размещения магазинов;расположение весьма примерное,http://europolis-msk.ru,,,Європоліс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[858591471, 858591468, 858591466, 858591457, 858591454, 45209186, 858591455, 858591458, 858591465, 263099280, 858591470, 263099266]",multipolygon,Europolis,Золотой Вавилон,Goldenes Babylon,Golden Babylon shopping center,,
relation,3533570,,,,"POLYGON ((37.662459 55.8431383, 37.6622714 55.8432161, 37.6622257 55.8431814, 37.6620843 55.8432401, 37.6621303 55.8432751, 37.6619673 55.8433427, 37.6620639 55.8434161, 37.6617725 55.843537, 37.6616789 55.843466, 37.6612201 55.8436564, 37.6613222 55.8437339, 37.66125 55.8437638, 37.6613571 55.8438451, 37.6614299 55.8438149, 37.6618731 55.8441515, 37.6617343 55.8442091, 37.6620786 55.8444706, 37.6620435 55.8444852, 37.662094 55.8445235, 37.6620422 55.844545, 37.6621982 55.8446635, 37.662286 55.844627, 37.6624969 55.8447872, 37.6625917 55.8448592, 37.6626685 55.8448273, 37.662711 55.8448097, 37.6628968 55.8447326, 37.6629431 55.8447134, 37.6629569 55.8447077, 37.6630656 55.8447902, 37.6633548 55.8446702, 37.6633911 55.8446551, 37.6637784 55.8444944, 37.6636633 55.844407, 37.6636915 55.8443953, 37.6637186 55.8443841, 37.6637752 55.8444271, 37.6639724 55.8443452, 37.6639435 55.8443233, 37.6639921 55.8443031, 37.6639595 55.8442784, 37.6639806 55.8442696, 37.6638039 55.8441354, 37.6639167 55.8440885, 37.6638444 55.8440336, 37.6637665 55.8439745, 37.66366 55.8440187, 37.6632914 55.8437388, 37.6633595 55.8437105, 37.663265 55.8436388, 37.6631868 55.8435794, 37.6631461 55.8435485, 37.6630536 55.8434782, 37.6629935 55.8435032, 37.6627873 55.8433465, 37.6627524 55.843361, 37.662459 55.8431383))",,,,211 к1,129226,проспект Мира,,,24/7,,,retail,1,,,,,,,,,,,,"[[[292112335, 2687247296, 292112336, 292112337, 2687247243, 2687247217, 2687247193], [2687247366, 2687247365, 2687247375, 2687247353, 2687247350, 292112333, 2687247343, 2687247340, 292112334, 292112335], [2687247401, 292112331, 292112332, 2687247366], [2687247404, 2687247401], [2687247409, 292112329, 292112330, 2687247404], [2687247411, 2687247409], [2687247415, 2687247411], [2687247417, 2687247415], [2687247413, 292112327, 2687247417], [292112343, 2687247045, 2687247040, 2687247050, 2687247057, 292112344, 292112345, 292112346, 292112347, 292112324, 2687247238, 2687247251, 2687247271, 2687247266, 292112325, 292112326, 2687247380, 2687247382, 2687247389, 2687247391, 2687247402, 2687247397, 2687247413], [2687247144, 2687247116, 2687247125, 292112341, 292112342, 292112343], [2687247193, 2687247154, 2687247144]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[263099301, 263099227, 263099287, 263099239, 263099290, 263099252, 263099256, 263099246, 263099271, 263099269, 26631401, 263099277]",multipolygon,,,,,0,
relation,3533571,,,,"POLYGON ((37.6631461 55.8435485, 37.6631868 55.8435794, 37.663265 55.8436388, 37.6633889 55.8435873, 37.6634003 55.8435825, 37.6637642 55.8438582, 37.6639166 55.8437948, 37.6640727 55.8437298, 37.6640889 55.8437231, 37.6636436 55.8433858, 37.6630103 55.8429061, 37.6629887 55.8429151, 37.6628511 55.8429723, 37.6626951 55.8430372, 37.6632907 55.8434884, 37.6632707 55.8434967, 37.6631461 55.8435485))",,,,,,,,,,,,roof,,,,,,,,,,,,,"[[[2687247193, 2687247154, 2687247144], [2687247193, 2687247161, 2687247155, 2687247273, 2687247260, 2687247235, 2687247226, 2687247083, 2687246997, 2687246998, 2687247010, 2687247018, 2687247120, 2687247124, 2687247144]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[263099277, 263099230]",multipolygon,,,,,,
relation,3533588,,,,"POLYGON ((37.6614508 55.8430772, 37.6615699 55.843155, 37.6617063 55.8430892, 37.6615872 55.8430113, 37.6614508 55.8430772))",,,,,,,,,,,,service,1,,,,,,,,,,,,"[[[2687247034, 2687247024, 2687247015, 2687247021], [2687247021, 2687247034]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[263099283, 263099244]",multipolygon,,,,,,
relation,3533590,,,,"POLYGON ((37.6606505 55.8432616, 37.6605849 55.8432904, 37.660731 55.8433951, 37.6608061 55.843362, 37.6608477 55.8433437, 37.6607016 55.8432391, 37.6606505 55.8432616))",,,,,,,,,,,,service,1,,,,,,,,,,,,"[[[2687247076, 2687247068, 2687247049, 2687247055], [2687247055, 2687247061, 2687247085, 2687247076]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[263099293, 263099288]",multipolygon,,,,,,
relation,7916370,,,120402,"POLYGON ((37.6352376 55.8505684, 37.6352497 55.8506019, 37.6354025 55.8505846, 37.6353912 55.8505531, 37.6353831 55.8505308, 37.6352303 55.8505481, 37.6352376 55.8505684))",,,,8 с1,,Лазоревый проезд,,,,,substation,yes,,minor_distribution,,,,,,,,,,,"[[[5334962160, 5334962159, 5334962156, 5334962164], [5334962164, 5334962157, 5334962158, 5334962160]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[552591127, 554279931]",multipolygon,,,,,,
relation,8150435,,,,"POLYGON ((37.633417 55.8496388, 37.6329822 55.8496778, 37.6330263 55.8498326, 37.633047 55.8499055, 37.6330699 55.8499861, 37.6332678 55.8499683, 37.6332405 55.8498723, 37.6334774 55.8498511, 37.6334522 55.8497626, 37.6339624 55.8497169, 37.6339271 55.8495931, 37.6335425 55.8496276, 37.633417 55.8496388))",,,,10,,Лазоревый проезд,,,,,,apartments,16,,,,,,,,,,,,"[[[317012228, 1321429338, 1321429321, 1321429471, 1321429442, 5506687030, 5506687029, 1321429365, 317012226], [317012228, 317012229, 317012227, 5506687028, 317012226]]]",,,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[117331452, 28835955]",multipolygon,,,,,,
relation,10142465,,,,"POLYGON ((37.6546752 55.8461094, 37.6549405 55.8464416, 37.6550319 55.846556, 37.6550839 55.8466211, 37.6547873 55.8466958, 37.6550042 55.8469674, 37.6551096 55.8469409, 37.6552809 55.8468977, 37.6554327 55.8470878, 37.6556587 55.8470309, 37.6563201 55.8468644, 37.6561144 55.8466068, 37.655976 55.8464335, 37.6557991 55.8462121, 37.6555068 55.845846, 37.6551975 55.8459239, 37.6552147 55.8459454, 37.6552335 55.8459689, 37.6546752 55.8461094))",,,Москва,14,129343,проезд Серебрякова,,"Бизнес-центр ""Сильвер Стоун""",,,,office,4,,,,,,,,,,"Бизнес-центр ""Сильвер Стоун""",,"[[[1457473447, 6850515566, 1457473460, 1457473470, 1457473491, 6850515580, 1457473487, 1457473498, 6843840381, 1457473485, 6840407904, 6840407903, 6840407902, 1457473419, 1457473421, 6850515565, 1457473423, 1457473433], [1457473433, 1457473447]]]",,,,,,,,,,,,,,,,,,http://silverstone-center.ru/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[132506615, 733739263]",multipolygon,,,,,,isolated
relation,10142466,,,,"POLYGON ((37.6546752 55.8461094, 37.6546614 55.8460921, 37.6546434 55.8460696, 37.6544591 55.846116, 37.6545432 55.8462213, 37.6545033 55.8462314, 37.6545281 55.8462624, 37.6545472 55.8462864, 37.6545901 55.8462756, 37.6547592 55.8464873, 37.6549405 55.8464416, 37.6546752 55.8461094))",,,,14 с16,,проезд Серебрякова,,,,,,commercial,3,,,,,,,,,,,,"[[[1457473433, 6850515564, 6843847088, 6843847087, 6850515559, 6850515562, 6850515563, 6850515561, 6850515560, 6843847086, 1457473447], [1457473433, 1457473447]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[730655516, 733739263]",multipolygon,,,,,,
