element_type,osmid,geometry,ref,amenity,building,denomination,name,place_of_worship:type,ref:temples.ru,religion,start_date,building:levels,shop,tickets:suburban_train,addr:housenumber,addr:street,access,operator,wheelchair,historic,name:ru,addr:city,description,brand,brand:wikidata,brand:wikipedia,contact:phone,contact:website,opening_hours,operator:wikidata,operator:wikipedia,official_name,tourism,cuisine,takeaway,parking,capacity,fee,vending,man_made,nodes,addr:country,addr:postcode,roof:material,roof:shape,building:colour,roof:colour,height,brand:en,contact:email,contact:facebook,contact:instagram,contact:ok,contact:vk,delivery,internet_access,name:en,toilets,wheelchair:description:ru,building:flats,stars,abandoned,source,building:material,design:ref,phone,health_facility:type,healthcare,alt_name,emergency,addr:province,location,power,substation,office,building:part,telecom,website,health_specialty:microbiology,medical_system:western,health_specialty:gynaecology,provided_for:female,layer,government,start,note,pipeline,substance,smoking,addr:place,addr:housenumber1,addr:street1,roof:levels,health_specialty:emergency_medicine,service_times,fixme,building:use,leisure,sport,addr:district,dispensing,landuse,trade,health_specialty:addiction_medicine,check_date,ruins,outdoor_seating,brand:ru,diet:vegetarian,tower:type,service,building:levels:underground,energy_class,building:min_level,roof:direction,generator:method,generator:output:hot_water,generator:source,generator:type,name:uk,street_cabinet,contact:twitter,opening_date,disused,source:addr,construction,ways,type,public_transport,building:parts,education,education_form:fulltime,education_level:primary,education_level:secondary,education_profile:general,education_system:ru_standard
relation,169035,"POLYGON ((37.8932237 55.6761217, 37.8935217 55.6763338, 37.8937592 55.6762277, 37.894278 55.675996, 37.8937129 55.6755937, 37.8929565 55.6759315, 37.8932237 55.6761217), (37.8937244 55.6757606, 37.8940248 55.6759657, 37.8936805 55.676126, 37.8933801 55.6759209, 37.8937244 55.6757606))",,townhall,yes,,Администрация Люберецкого Района,,,,,5,,,190,Октябрьский проспект,,,,,,,,,,,,,,,,,,,,,,,,,"[[[438111299, 438111300, 438111301, 7767872194, 438111302, 7767872195, 438111299], [438111303, 438111304, 438111305, 438111306, 438111303]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[37453204, 37453205]",multipolygon,,,,,,,,
relation,1546755,"POLYGON ((37.8981662 55.6820158, 37.8982031 55.6820391, 37.8982396 55.6820637, 37.8983511 55.6820093, 37.8983758 55.6820254, 37.8984235 55.6820022, 37.8985669 55.6819322, 37.8984687 55.6818682, 37.8981662 55.6820158))",,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[[896791998, 1248965646, 1248965151, 1248964528, 1248965782, 1248964308, 1248964754], [896791998, 1248966977, 1248964754]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[108972259, 108972693]",multipolygon,station,,,,,,,
relation,1546873,"POLYGON ((37.8967345 55.6825825, 37.8967807 55.682612, 37.896827 55.6826414, 37.897029 55.6825407, 37.8969828 55.6825112, 37.8969365 55.6824817, 37.8967345 55.6825825))",,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[[1249159462, 1249159452, 1249159464], [1249159464, 896883916], [896884019, 1249159459, 896883916], [1249159462, 896884019]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[108991901, 108991899, 108991892, 108991898]",multipolygon,,,,,,,,
relation,1546875,"POLYGON ((37.8654155 55.6979532, 37.8654381 55.6979674, 37.8655767 55.6978976, 37.8655545 55.6978837, 37.8654751 55.6978332, 37.8653361 55.6979028, 37.8653933 55.6979391, 37.8654155 55.6979532))",,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[[1249168166, 2074585082, 1249168181, 1249168168, 1249168178], [1249168166, 1249168183, 1249168185, 1249168178]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[108993315, 108993317]",multipolygon,,,,,,,,
relation,3342222,"POLYGON ((37.9174023 55.6599992, 37.9175207 55.660053, 37.9175456 55.6600356, 37.9177077 55.6601092, 37.9176828 55.6601266, 37.9177887 55.6601748, 37.9178927 55.6601019, 37.9179498 55.6601073, 37.9179425 55.6601317, 37.918236 55.6601596, 37.9182821 55.6600056, 37.9179179 55.6599709, 37.9178787 55.6599531, 37.9178717 55.6599167, 37.9181853 55.6596969, 37.9182119 55.659709, 37.9183089 55.6596412, 37.9183345 55.6596528, 37.9186008 55.6594662, 37.9185752 55.6594545, 37.918666 55.659391, 37.918639 55.6593788, 37.918748 55.6593024, 37.9189706 55.6593214, 37.9189543 55.6593818, 37.9199866 55.6594701, 37.9200055 55.6593999, 37.9205081 55.6594429, 37.920537 55.6593354, 37.9203414 55.6593187, 37.920355 55.6592684, 37.9198807 55.6592278, 37.9198747 55.65925, 37.9186248 55.659143, 37.9174023 55.6599992))",,,yes,,Институт горного дела,,,,,,,,411,Октябрьский проспект,,,,,,,,,,,,,,,,,,,,,,,,,"[[[609628830, 8839931036, 8839931032, 8839931031, 8839931035, 609628833, 8839931037, 8839931038, 8839931039, 609628837, 609628840, 609628835, 8839931034, 8839931033, 8839931047, 8839931045, 8839931042, 8839931041, 8839931040, 8839931043, 8839931044, 8839931046, 609628742, 8839931294, 8839931299, 8839931298, 8839931295, 609628853, 609628855, 8839931293, 8839931296, 8839931297, 8839931292, 609628738], [609628738, 609628830]]]",,140004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[47932196, 248009004]",multipolygon,,,,,,,,
relation,3342239,"POLYGON ((37.9341059 55.663306, 37.9357017 55.6624926, 37.9354175 55.6623152, 37.9356962 55.6621731, 37.9355236 55.6620653, 37.935004 55.6623302, 37.9350385 55.6623517, 37.9346948 55.6625269, 37.9346628 55.6625069, 37.9336515 55.6630224, 37.9338619 55.6631537, 37.933903 55.6631793, 37.9339596 55.6632146, 37.9340217 55.6632534, 37.9341059 55.663306))",,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[[1260575147, 1260575796, 1260575184, 1260575281, 1260575447, 1260575525, 1260575483, 417672449, 417672446, 951433605, 951433599, 951433607, 951433638, 417672447], [417672447, 1260575147]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[35670551, 248010293]",multipolygon,,,,,,,,
relation,3484650,"POLYGON ((37.8588968 55.6981086, 37.858876 55.6980698, 37.8588655 55.6980716, 37.8588491 55.698041, 37.8588392 55.6980426, 37.8588258 55.6980175, 37.8588462 55.6980141, 37.8588272 55.6979786, 37.8589032 55.6979657, 37.8588988 55.6979574, 37.8589564 55.6979477, 37.858952 55.6979396, 37.8590059 55.6979304, 37.8590102 55.6979385, 37.8590645 55.6979293, 37.8592873 55.6978923, 37.8592591 55.6978383, 37.8593158 55.6978289, 37.8592967 55.6977925, 37.8594757 55.6977628, 37.8594557 55.6977253, 37.8594451 55.6977271, 37.8594288 55.6976965, 37.8594188 55.6976982, 37.8594054 55.6976731, 37.8594258 55.6976696, 37.8594069 55.6976341, 37.8594828 55.6976212, 37.8594784 55.697613, 37.859536 55.6976032, 37.8595317 55.6975951, 37.8595855 55.6975859, 37.8595898 55.697594, 37.8596442 55.6975848, 37.8597398 55.6975695, 37.8596917 55.6974774, 37.8595385 55.6974938, 37.8585784 55.6980817, 37.8586139 55.6981538, 37.8588968 55.6981086))",,,yes,,,,,,,2,,,5,Октябрьский проспект,,,,,,Люберцы,,,,,,,,,,,,,,,,,,,"[[[2650628177, 2650628184, 2650628181, 2650628187, 2650628196, 2650628199, 2650628264, 612247587, 2650628294, 612247538, 2650628326, 2650628323, 2650628377, 2650628370, 2650628401], [2650627970, 5691322689, 2650627939, 2650627943, 2650628387, 2650628423, 2650628401], [2650627970, 2650627981, 2650627974, 2650627985, 2650627989, 2650627992, 2650627996, 2650628018, 2650628029, 2650628036, 2650628051, 2650628048, 2650628069, 2650628066, 2650628085], [2650628177, 5691322690, 2650628134, 2650628123, 2650628103, 2650628085]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[259631795, 259631834, 259631794, 259631827]",multipolygon,,,,,,,,
relation,3484653,"POLYGON ((37.8594722 55.6995619, 37.8593833 55.6996092, 37.8595234 55.6996927, 37.8595598 55.6996733, 37.8595817 55.6996864, 37.8597445 55.6995997, 37.8597226 55.6995866, 37.8597941 55.6995485, 37.8598136 55.6995601, 37.8599667 55.6994785, 37.8599473 55.6994669, 37.8599814 55.6994488, 37.8599629 55.6994384, 37.859992 55.699422, 37.8600047 55.6994291, 37.8600573 55.6993994, 37.8600446 55.6993923, 37.8601038 55.6993589, 37.8601161 55.6992741, 37.8600602 55.6992426, 37.8600742 55.6992348, 37.8600258 55.6992074, 37.8600119 55.6992153, 37.8599786 55.6991965, 37.8599956 55.6991869, 37.8599631 55.6991676, 37.8599921 55.699152, 37.8599518 55.699128, 37.8599427 55.6991329, 37.8598649 55.6990867, 37.8598741 55.6990818, 37.8598372 55.6990599, 37.8598082 55.6990754, 37.8597432 55.6990367, 37.8597701 55.6990224, 37.8597314 55.6989994, 37.8597219 55.6990045, 37.8596452 55.6989589, 37.8596547 55.6989538, 37.8596177 55.6989317, 37.8595908 55.6989461, 37.8595606 55.6989281, 37.8594125 55.6990071, 37.859485 55.6990502, 37.8594676 55.6990595, 37.8595441 55.699105, 37.8595615 55.6990957, 37.8596998 55.6991781, 37.8596811 55.6991881, 37.8597579 55.6992337, 37.8597766 55.6992237, 37.8598461 55.6992649, 37.8598471 55.6992808, 37.8598508 55.6993415, 37.8598518 55.6993591, 37.8597802 55.6993978, 37.8597643 55.6993883, 37.8596871 55.6994294, 37.859703 55.6994389, 37.8595487 55.6995211, 37.859529 55.6995094, 37.8594525 55.6995502, 37.8594722 55.6995619))",,,apartments,,,,,,2010,17,,,3,Октябрьский проспект,,,,,,,,,,,,,,,,,,,,,,,,,"[[[2650632963, 2650633006, 2650633144, 2650633111, 2650633127, 2650632999, 2650632993, 2650632946, 2650632959, 2650632882, 2650632870, 2650632852, 2650632845, 2650632819, 2650632831, 2650632794, 2650632786, 2650632703, 2650632621, 2650632594, 2650632590, 2650632569, 2650632574, 2650632567, 2650632558, 2650632535, 2650632524, 2650632509, 2650632514, 2650632419, 2650632414, 2650632392, 2650632403, 2650632372, 2650632364, 2650632342, 2650632354, 2650632307, 2650632299, 2650632260, 2650632294, 2650632258, 2650632356, 2650632377], [2650632922, 2650632912, 2650632951, 2650632963], [2650632847, 2650632922], [2650632792, 2650632780, 2650632833, 2650632847], [2650632693, 2650632709, 2650632792], [2650632628, 2650632693], [2650632576, 2650632608, 2650632628], [2650632548, 2650632561, 2650632587, 2650632576], [2650632478, 2650632548], [2650632377, 2650632387, 2650632488, 2650632478]]]",,140002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[259631817, 259631813, 259631782, 259631812, 259631797, 259631791, 259631798, 259631805, 259631790, 259631806]",multipolygon,,,,,,,,
relation,3484654,"POLYGON ((37.857711 55.6995178, 37.8577438 55.6995374, 37.8577277 55.6995459, 37.8577671 55.6995695, 37.8577757 55.6995649, 37.8577875 55.6995719, 37.8577977 55.699578, 37.8577891 55.6995826, 37.8578695 55.6996306, 37.8578804 55.6996248, 37.8579081 55.6996417, 37.8578974 55.6996474, 37.8579496 55.6996786, 37.8579658 55.69967, 37.8580219 55.6997036, 37.8580076 55.6997112, 37.8580552 55.6997396, 37.8580651 55.6997344, 37.8580888 55.6997485, 37.8580789 55.6997538, 37.8581625 55.6998037, 37.8581715 55.6997989, 37.8581965 55.6998139, 37.8581875 55.6998187, 37.8582378 55.6998488, 37.8582521 55.6998412, 37.8583082 55.6998747, 37.8582919 55.6998833, 37.8583438 55.6999144, 37.8583536 55.6999092, 37.8583763 55.6999227, 37.8583665 55.6999279, 37.8584521 55.6999791, 37.858461 55.6999743, 37.8584854 55.699989, 37.8584766 55.6999937, 37.8585144 55.7000163, 37.8585307 55.7000076, 37.8586021 55.7000503, 37.8586333 55.700069, 37.8585716 55.7001101, 37.8586908 55.7001797, 37.8588799 55.7000796, 37.8590757 55.6999763, 37.858919 55.6998819, 37.8587736 55.6999592, 37.8586702 55.6998975, 37.8586928 55.6998855, 37.8586297 55.6998477, 37.8586182 55.6998538, 37.8585993 55.6998425, 37.8586107 55.6998364, 37.8585471 55.6997984, 37.8585245 55.6998104, 37.8583769 55.6997221, 37.858395 55.6997125, 37.8583377 55.6996782, 37.8583277 55.6996836, 37.8583072 55.6996713, 37.8583173 55.699666, 37.8582661 55.6996354, 37.8582479 55.6996451, 37.8580983 55.6995556, 37.8581152 55.6995466, 37.8580517 55.6995087, 37.8580407 55.6995146, 37.8580214 55.699503, 37.8580324 55.6994972, 37.8579834 55.6994679, 37.857974 55.6994622, 37.8579571 55.6994712, 37.8578825 55.6994267, 37.857711 55.6995178))",,,apartments,,,,,,2011,17,,,1,Октябрьский проспект,,,,,,,,,,,,,,,,,,,,,,,,,"[[[2650633328, 2650633320, 2650633327, 2650633314, 2650633310, 2650633305], [2650633305, 2650633306, 2650633296, 2650633291], [2650633291, 2650633282, 2650633288, 2650633273, 2650633266, 2650633252, 2650633259, 2650633244, 2650633242, 2650633230], [2650633230, 2650633236, 2650633201, 2650633197], [2650633197, 2650633183, 2650633192, 2650633161, 2650633154, 2650633042, 2650633118, 2650633032, 2650633023, 2650633013], [2650633013, 2650633016, 2650632989, 2650632984], [2650632984, 2650632978, 2650632968, 2650632973, 2650632942, 2650632933, 2650632920], [2650632920, 2650632828], [2650632828, 2650632879, 2650632865, 2650632873, 2650632890, 2650632895, 2650632915, 2650632900, 2650632943, 2650632954, 2650633026, 2650633019, 2650633039, 2650633045, 2650633123, 2650633114, 2650633165, 2650633178, 2650633240, 2650633227, 2650633249, 2650633254, 2650633261, 2650633256, 2650633275, 2650633280, 2650633301], [2650633301, 2650633270, 3693968160, 3693968162, 2650633331, 2650633330, 2650633329, 2650633328]]]",,140002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[259631824, 259631802, 259631778, 259631815, 259631779, 259631816, 259631831, 259631787, 259631796, 259631833]",multipolygon,,,,,,,,
relation,3484655,"POLYGON ((37.8588968 55.6981086, 37.8589275 55.698166, 37.85892 55.6981672, 37.8589273 55.6981809, 37.858915 55.698183, 37.8589259 55.6982033, 37.8589568 55.698198, 37.858969 55.6982208, 37.8589807 55.6982189, 37.858988 55.6982326, 37.8589936 55.6982317, 37.859045 55.6983278, 37.8590323 55.69833, 37.8590486 55.6983605, 37.8590377 55.6983623, 37.8590511 55.6983875, 37.8590705 55.6983842, 37.8590898 55.6984202, 37.8591649 55.6984075, 37.8591697 55.6984165, 37.859227 55.6984067, 37.8592317 55.6984154, 37.8592855 55.6984063, 37.8592815 55.6983988, 37.8593368 55.6983894, 37.8593109 55.6983409, 37.8593558 55.6983333, 37.859339 55.6983019, 37.8593302 55.6983034, 37.8593063 55.6982586, 37.859282 55.6982133, 37.8592969 55.6982107, 37.8592794 55.6981781, 37.8592352 55.6981856, 37.8592202 55.6981576, 37.8591892 55.6981628, 37.859173 55.6981326, 37.8592185 55.6981248, 37.8592012 55.6980924, 37.8591884 55.6980945, 37.859167 55.6980545, 37.8591402 55.6980043, 37.8591512 55.6980025, 37.8591343 55.6979709, 37.8590908 55.6979783, 37.8590645 55.6979293, 37.8590102 55.6979385, 37.8590059 55.6979304, 37.858952 55.6979396, 37.8589564 55.6979477, 37.8588988 55.6979574, 37.8589032 55.6979657, 37.8588272 55.6979786, 37.8588462 55.6980141, 37.8588258 55.6980175, 37.8588392 55.6980426, 37.8588491 55.698041, 37.8588655 55.6980716, 37.858876 55.6980698, 37.8588968 55.6981086))",,,apartments,,,,,,2008,17,,,5 к2,Октябрьский проспект,,,,,,Люберцы,,,,,,,,,,,,,,,,,,,"[[[2650628401, 2650628435, 2650628438, 2650628449, 2650628452, 612247762, 2650628467, 2650628484, 2650628481, 2650628490, 2650628487, 2650628514, 2650628517, 2650628526, 612247760, 2650628541, 2650628538, 2650628559, 2650628552, 2650628557, 2650628550, 2650628555, 2650628548, 2650628546, 2650628544, 2650628523, 2650628520, 2650628501, 2650628504, 5691322688, 2650628474, 2650628470, 2650628445, 2650628459, 2650628427, 2650628432, 2650628414, 2650628410, 2650628392, 2650628395, 5691322686, 2650628290, 2650628287, 2650628267, 2650628272, 2650628177], [2650628177, 2650628184, 2650628181, 2650628187, 2650628196, 2650628199, 2650628264, 612247587, 2650628294, 612247538, 2650628326, 2650628323, 2650628377, 2650628370, 2650628401]]]",,140002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[48173447, 259631795]",multipolygon,,,,,,,,
