element_type,osmid,nodes,building,geometry
way,311971761,"[3177593031, 3177593039, 3177593028, 3177593026, 3177593031]",yes,"POLYGON ((40.198073 54.5483608, 40.1980536 54.5481838, 40.1984238 54.5481701, 40.1984432 54.5483471, 40.198073 54.5483608))"
way,525460441,"[5111782138, 5111782139, 5111782140, 5111782141, 5111782138]",yes,"POLYGON ((40.1929481 54.5478229, 40.192988 54.5478797, 40.1931218 54.5478482, 40.193082 54.5477914, 40.1929481 54.5478229))"
way,525460442,"[5111782142, 5111782143, 5111782144, 5111782145, 5111782142]",yes,"POLYGON ((40.1925608 54.5479894, 40.1928641 54.5479223, 40.1928227 54.5478615, 40.1925194 54.5479302, 40.1925608 54.5479894))"
way,525460443,"[5111782146, 5111782147, 5111782148, 5111782149, 5111782146]",yes,"POLYGON ((40.192198 54.5480685, 40.1924545 54.5480128, 40.1924131 54.547952, 40.1921567 54.5480194, 40.192198 54.5480685))"
way,525460446,"[5111782192, 5111782193, 5111782194, 5111782195, 5111782196, 5111782197, 5111782192]",yes,"POLYGON ((40.1952393 54.5467614, 40.1953161 54.5467457, 40.1953312 54.5467707, 40.1954197 54.5467526, 40.1953671 54.5466659, 40.1952018 54.5466997, 40.1952393 54.5467614))"
way,525460447,"[5111782198, 5111782199, 5111782200, 5111782201, 5111782202, 5111782203, 5111782198]",yes,"POLYGON ((40.1939952 54.547014, 40.1940772 54.5469968, 40.194061 54.5469709, 40.1941742 54.546947, 40.1941323 54.54688, 40.193937 54.5469211, 40.1939952 54.547014))"
way,525460448,"[5111782204, 5111782205, 5111782206, 5111782207, 5111782208, 5111782209, 5111782204]",yes,"POLYGON ((40.1940015 54.5460905, 40.1941356 54.5460335, 40.1940159 54.5459387, 40.1939346 54.5459732, 40.1939977 54.5460232, 40.1939448 54.5460456, 40.1940015 54.5460905))"
way,525460449,"[5111782210, 5111782211, 5111782212, 5111782213, 5111782210]",yes,"POLYGON ((40.1941121 54.5451628, 40.19424 54.5451092, 40.1942961 54.5451541, 40.1941682 54.5452078, 40.1941121 54.5451628))"
way,525460450,"[5111782214, 5111782215, 5111782216, 5111782217, 5111782214]",yes,"POLYGON ((40.1924248 54.5446631, 40.1926002 54.5445992, 40.192522 54.5445269, 40.1923466 54.5445907, 40.1924248 54.5446631))"
way,525460452,"[5111782929, 5111782930, 5111782931, 5111782932, 5111782933, 5111782934, 5111782935, 5111782936, 5111782929]",yes,"POLYGON ((40.2030975 54.5435055, 40.2031699 54.5434746, 40.2031443 54.5434545, 40.2032278 54.5434189, 40.203161 54.5433662, 40.2030783 54.5434015, 40.2030509 54.5433799, 40.2029778 54.5434111, 40.2030975 54.5435055))"
way,525460453,"[5111782937, 5111782938, 5111782939, 5111782940, 5111782937]",yes,"POLYGON ((40.2022055 54.5439372, 40.2023794 54.5438515, 40.2022479 54.5437617, 40.202074 54.5438474, 40.2022055 54.5439372))"
way,525460454,"[5111782941, 5111782942, 5111782943, 5111782944, 5111782941]",yes,"POLYGON ((40.2029705 54.5435936, 40.2030531 54.5435547, 40.2029389 54.5434732, 40.2028563 54.5435121, 40.2029705 54.5435936))"
