element_type,osmid,source,geometry,addr:housenumber,addr:street,fixme,wheelchair,addr:city,name,opening_hours,tourism,building,nodes,building:levels,building:material,addr:postcode,description,roof:shape,amenity,addr2:housenumber,addr2:street,phone,generator:method,addr:country,addr:district,addr:region,note,name:en,shop,name:ru,religion,website,administrative,office,layer,man_made,addr:place,roof:levels,power,bench,shelter,healthcare,addr:full,alt_name,brand,brand:en,brand:wikidata,brand:wikipedia,contact:email,contact:facebook,contact:instagram,contact:ok,contact:phone,contact:vk,contact:website,operator,ref,service,ways,type
relation,10183130,,"POLYGON ((34.4574307 62.9115222, 34.4575655 62.911603, 34.4576443 62.9115757, 34.4576934 62.9116051, 34.4577982 62.9115688, 34.45784 62.9115938, 34.4579978 62.9115392, 34.4580466 62.9115685, 34.458263 62.9114936, 34.458215 62.9114649, 34.458373 62.9114102, 34.4583315 62.9113854, 34.4584365 62.911349, 34.4583879 62.9113199, 34.4584837 62.9112867, 34.4583589 62.9112119, 34.4582545 62.9111494, 34.4583117 62.9111296, 34.4580707 62.9109852, 34.4580289 62.9109997, 34.4578946 62.9109193, 34.4579429 62.9109026, 34.4577866 62.9108089, 34.4575627 62.9108864, 34.457935 62.9111095, 34.457966 62.9110987, 34.4580352 62.9111402, 34.4580052 62.9111506, 34.4580848 62.9111983, 34.4580273 62.9112182, 34.4580698 62.9112437, 34.4575607 62.91142, 34.4575087 62.9113889, 34.4574728 62.9114013, 34.4573951 62.9113548, 34.4573611 62.9113665, 34.4572958 62.9113274, 34.4573431 62.911311, 34.4570325 62.9111249, 34.4569979 62.9111369, 34.4569564 62.911112, 34.4567836 62.9111718, 34.4569014 62.9112424, 34.456929 62.9112329, 34.4570709 62.9113179, 34.4570309 62.9113317, 34.4572719 62.9114761, 34.4573237 62.9114581, 34.4574307 62.9115222))",40,улица Карла Маркса,,,Медвежьегорск,,,,yes,"[[[1018774402, 6902266777, 6902266771, 6902266772, 6902266773, 6902266774, 6902266775, 6902266776, 6902266764, 6902266765, 6902266766, 6902266767, 6902266768, 6902266769, 6902266770, 1018780949], [1018780949, 1018780005, 1018778622, 1018777161, 1018781118, 1018780501, 1018779189, 1018777769, 1018778456, 1018777048, 1018775973, 1018774852, 1018779885, 1018778530, 1018777091, 1018775993, 1018776576, 1018775373, 1018774350, 1018780915, 1018778777, 1018777346, 1018776225, 1018775086, 1018775549, 1018775077, 1018779125, 1018777668, 1018776515, 1018775331, 1018777830, 1018776632, 1018775430, 1018774402]]]",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[737249546, 737249545]",multipolygon
relation,10183133,,"POLYGON ((34.4574307 62.9115222, 34.4576361 62.9114511, 34.4577194 62.911501, 34.4578767 62.9114465, 34.4578549 62.9114335, 34.4580368 62.9113706, 34.4580646 62.9113872, 34.4582294 62.9113302, 34.4581517 62.9112836, 34.4583589 62.9112119, 34.4582545 62.9111494, 34.4583117 62.9111296, 34.4580707 62.9109852, 34.4580289 62.9109997, 34.4578946 62.9109193, 34.4579429 62.9109026, 34.4577866 62.9108089, 34.4575627 62.9108864, 34.457935 62.9111095, 34.457966 62.9110987, 34.4580352 62.9111402, 34.4580052 62.9111506, 34.4580848 62.9111983, 34.4580273 62.9112182, 34.4580698 62.9112437, 34.4575607 62.91142, 34.4575087 62.9113889, 34.4574728 62.9114013, 34.4573951 62.9113548, 34.4573611 62.9113665, 34.4572958 62.9113274, 34.4573431 62.911311, 34.4570325 62.9111249, 34.4569979 62.9111369, 34.4569564 62.911112, 34.4567836 62.9111718, 34.4569014 62.9112424, 34.456929 62.9112329, 34.4570709 62.9113179, 34.4570309 62.9113317, 34.4572719 62.9114761, 34.4573237 62.9114581, 34.4574307 62.9115222))",,,,,,,,,apartments,"[[[1018774402, 1018774901, 1018781129, 1018780549, 1018779258, 1018776106, 1018774961, 1018781149, 1018780586, 1018780949], [1018780949, 1018780005, 1018778622, 1018777161, 1018781118, 1018780501, 1018779189, 1018777769, 1018778456, 1018777048, 1018775973, 1018774852, 1018779885, 1018778530, 1018777091, 1018775993, 1018776576, 1018775373, 1018774350, 1018780915, 1018778777, 1018777346, 1018776225, 1018775086, 1018775549, 1018775077, 1018779125, 1018777668, 1018776515, 1018775331, 1018777830, 1018776632, 1018775430, 1018774402]]]",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[87572191, 737249545]",multipolygon
relation,13892178,,"POLYGON ((34.4292529 62.9244142, 34.4291306 62.9245025, 34.4292616 62.9245401, 34.4293839 62.9244517, 34.4292529 62.9244142))",14А,Западная улица,,,Медвежьегорск,,,,yes,"[[[6661798883, 6661798880, 6661798881], [6661798881, 6661798882, 6661798883]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[708968052, 1037313872]",multipolygon
way,57401637,,"POLYGON ((34.4759945 62.913857, 34.4761872 62.9139474, 34.4752999 62.9143394, 34.4748343 62.9145451, 34.4746416 62.9144547, 34.4759945 62.913857))",27,улица Ленина,,,Медвежьегорск,,,,apartments,"[714128903, 714128902, 2412893556, 714128878, 714128880, 714128903]",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,57401638,,"POLYGON ((34.4743007 62.9119107, 34.4760232 62.9127596, 34.4762168 62.9126781, 34.4744943 62.9118292, 34.4743007 62.9119107))",5Б,улица М.Горького,,,Медвежьегорск,,,,apartments,"[714128847, 714128896, 714128897, 714128848, 714128847]",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,57401639,,"POLYGON ((34.4743155 62.911153, 34.4760119 62.9119801, 34.4761842 62.9119068, 34.4744876 62.9110798, 34.4743155 62.911153))",5,улица М.Горького,,,Медвежьегорск,,,,apartments,"[714128850, 714128899, 714128898, 714128849, 714128850]",5,brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,57401640,,"POLYGON ((34.4743442 62.9126192, 34.4741682 62.9126939, 34.4758935 62.9135371, 34.4760695 62.9134625, 34.4743442 62.9126192))",7,улица М.Горького,,,,,,,apartments,"[714128856, 714128855, 714128909, 714128908, 714128856]",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,57401643,,"POLYGON ((34.4707631 62.9138203, 34.4705571 62.913918, 34.4716538 62.9143974, 34.4718441 62.9143085, 34.4707631 62.9138203))",19,улица Дзержинского,,,Медвежьегорск,,,,apartments,"[714128875, 714128877, 714128870, 714128869, 714128875]",5,,186350,Бывший магазин 33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,57401644,,"POLYGON ((34.4719724 62.910678, 34.4732852 62.9113127, 34.473475 62.9112313, 34.4721622 62.9105966, 34.4719724 62.910678))",4,улица М.Горького,,,,,,,apartments,"[714128851, 714128853, 714128852, 714128854, 714128851]",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,57401645,,"POLYGON ((34.4726294 62.9124542, 34.4724671 62.9125215, 34.4726597 62.9126185, 34.4728864 62.9127308, 34.473148 62.9128617, 34.4733102 62.9127943, 34.4726294 62.9124542))",7А,улица М.Горького,,,Медвежьегорск,,,,yes,"[714128862, 714128859, 2684850448, 2684850447, 714128861, 714128858, 714128862]",2,brick,186350,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,57401646,,"POLYGON ((34.4703926 62.9118229, 34.4694553 62.9122318, 34.4696104 62.9123056, 34.4705477 62.9118966, 34.4703926 62.9118229))",16А,улица Горького,,,Медвежьегорск,,,,apartments,"[714128864, 714128804, 714128806, 714128865, 714128864]",5,,186350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,57401656,,"POLYGON ((34.4762915 62.9136904, 34.476475 62.9137764, 34.4775705 62.9132919, 34.477387 62.9132059, 34.4762915 62.9136904))",29,улица Ленина,,no,Медвежьегорск,,,,apartments,"[714128904, 714128905, 714128906, 714128907, 714128904]",5,,186350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87189535,,"POLYGON ((34.4649808 62.9126912, 34.465272 62.9125569, 34.464348 62.9121415, 34.4641147 62.9122491, 34.4641915 62.9122836, 34.4637054 62.9125078, 34.4639312 62.9126093, 34.4643593 62.9124118, 34.4649808 62.9126912))",2,улица Дзержинского,,,Медвежьегорск,Онежская,,hotel,yes,"[1013820622, 1013820632, 1013820624, 1013820668, 1013820653, 1013820660, 1013820651, 1013820665, 1013820622]",,,186350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87192329,,"POLYGON ((34.4741868 62.910906, 34.4743648 62.9108272, 34.4742357 62.9107667, 34.4742793 62.9107474, 34.474194 62.9107075, 34.4742531 62.9106813, 34.4737978 62.9104685, 34.473847 62.9104467, 34.4729634 62.910035, 34.4729096 62.910059, 34.4726898 62.909957, 34.472545 62.9100219, 34.4727384 62.9101114, 34.4727816 62.910092, 34.4736959 62.9105127, 34.4736473 62.9105347, 34.4738644 62.9106342, 34.4737978 62.9106644, 34.4741221 62.9108128, 34.4740523 62.9108445, 34.4741868 62.910906))",2,улица Горького,,,,,,,apartments,"[1013845582, 1013845518, 1013845745, 1013845576, 1013845800, 1013845553, 1013845704, 1013845605, 1013845764, 1013845736, 1013845607, 1013845589, 1013845715, 1013845799, 1013845803, 1013845776, 1013845747, 1013845617, 1013845620, 1013845647, 1013845582]",5,brick,,дом с цветочком,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87192339,,"POLYGON ((34.4620906 62.913906, 34.4631492 62.9134679, 34.4629321 62.9133591, 34.4618735 62.9137973, 34.4620906 62.913906))",5,улица К. Либкнехта,,,Медвежьегорск,,,,apartments,"[1013845718, 1013845532, 1013845675, 1013845683, 1013845718]",5,,186350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87192340,,"POLYGON ((34.4623642 62.913084, 34.4632961 62.9126831, 34.4635153 62.9127887, 34.4625833 62.9131896, 34.4623642 62.913084))",12,улица К. Либкнехта,,,Медвежьегорск,,,,apartments,"[1013845805, 1013845522, 1013845682, 1013845639, 1013845805]",5,,186350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
