element_type,osmid,nodes,building,geometry,addr:housenumber,amenity,religion,addr:postcode,addr:street,ways,type
relation,2909986,"[[[2291625770, 2291625755, 2291625750, 2291625748, 2291625729, 2291625731, 2291625733, 2291625738, 2291625735, 2291625742, 2291625770], [2291625746, 2291625740, 2291625744, 2291625757, 2291625746]]]",school,"POLYGON ((30.19661 47.3816227, 30.1964775 47.3815799, 30.1964675 47.381594, 30.1960696 47.3814654, 30.1960801 47.3814505, 30.1959629 47.3814126, 30.1956026 47.3819236, 30.1956411 47.3819361, 30.1957249 47.3819632, 30.1962502 47.382133, 30.19661 47.3816227), (30.1959733 47.3816045, 30.196366 47.3817314, 30.196191 47.3819797, 30.1957983 47.3818527, 30.1959733 47.3816045))",42,,,66800,Південна вулиця,"[220042461, 220042462]",multipolygon
way,220042453,"[2291625716, 2291625727, 2291625722, 2291625724, 2291625720, 2291625718, 2291625714, 2291625701, 2291625707, 2291625703, 2291625709, 2291625711, 2291625716]",yes,"POLYGON ((30.1920224 47.3808696, 30.1923672 47.3809933, 30.1923913 47.3809627, 30.1924688 47.3809905, 30.1924982 47.3809529, 30.1924206 47.3809252, 30.1925428 47.3807691, 30.192198 47.3806454, 30.1921787 47.38067, 30.1921112 47.3806458, 30.192079 47.3806869, 30.1921465 47.3807112, 30.1920224 47.3808696))",,,,,,,
way,220042454,"[2291625750, 2291625763, 2291625753, 2291625761, 2291625759, 2291625765, 2291625768, 2291625771, 2291625773, 2291625775, 2291625782, 2291625769, 2291625767, 2291625755, 2291625750]",yes,"POLYGON ((30.1956411 47.3819361, 30.1955746 47.3820305, 30.1952996 47.3819416, 30.1952479 47.3820149, 30.1951976 47.3819986, 30.1951602 47.3820517, 30.1952105 47.382068, 30.1951563 47.3821449, 30.1955473 47.3822713, 30.1955296 47.3822965, 30.1956493 47.3823352, 30.1958044 47.3821151, 30.1956525 47.382066, 30.1957249 47.3819632, 30.1956411 47.3819361))",,,,,,,
way,220042455,"[2291625807, 2291625804, 2291625796, 2291625798, 2291625794, 2291625788, 2291625792, 2291625790, 2291625802, 2291625800, 2291625808, 2291625811, 2291625813, 2291625819, 2291625815, 2291625817, 2291625807]",yes,"POLYGON ((30.1923668 47.3844439, 30.1922554 47.3844102, 30.1924019 47.3841884, 30.1925266 47.3842261, 30.1925981 47.3841178, 30.1922884 47.384024, 30.1922606 47.3840661, 30.1921671 47.3840378, 30.19198 47.3843211, 30.191953 47.3843129, 30.1918388 47.3844859, 30.1919246 47.3845119, 30.1919064 47.3845394, 30.1921519 47.3846137, 30.1921701 47.3845862, 30.1922558 47.3846121, 30.1923668 47.3844439))",,,,,,,
way,220042456,"[2291625786, 2291625780, 2291625777, 2291625784, 2291625786]",yes,"POLYGON ((30.1906394 47.3824532, 30.1906457 47.3823275, 30.1900808 47.3823145, 30.1900744 47.3824402, 30.1906394 47.3824532))",,,,,,,
way,220042457,"[2291625694, 2291625684, 2291625677, 2291625680, 2291625694]",yes,"POLYGON ((30.1940469 47.3805285, 30.1941367 47.3804264, 30.1934519 47.3801503, 30.1933621 47.3802525, 30.1940469 47.3805285))",,,,,,,
way,220042458,"[2291625827, 2291625825, 2291625821, 2291625823, 2291625827]",yes,"POLYGON ((30.1957523 47.3854912, 30.1958503 47.3853728, 30.1952632 47.38515, 30.1951652 47.3852682, 30.1957523 47.3854912))",,,,,,,
way,220042459,"[2291625835, 2291625831, 2291625829, 2291625833, 2291625835]",yes,"POLYGON ((30.1956775 47.386574, 30.1957426 47.3864738, 30.1954236 47.3863788, 30.1953585 47.386479, 30.1956775 47.386574))",,,,,,,
way,220042460,"[2291625692, 2291625682, 2291625686, 2291625690, 2291625688, 2291625697, 2291625699, 2291625705, 2291625692]",yes,"POLYGON ((30.1929634 47.3805143, 30.1924196 47.3803061, 30.1923048 47.3804435, 30.1924009 47.3804803, 30.192419 47.3804587, 30.1927737 47.3805945, 30.1927556 47.3806162, 30.1928486 47.3806518, 30.1929634 47.3805143))",,,,,,,
way,220540147,"[2296518018, 2296518016, 2296518022, 2296518026, 2296518020, 2296518024, 2296518018]",yes,"POLYGON ((30.1969559 47.3801846, 30.1965961 47.3800613, 30.1964269 47.3802877, 30.1965377 47.3803257, 30.196605 47.3802356, 30.196854 47.3803209, 30.1969559 47.3801846))",,,,,,,
way,233480444,"[2418602309, 2418602312, 2418602305, 2418602303, 2418602309]",yes,"POLYGON ((30.1969115 47.3929782, 30.1970803 47.3930128, 30.1971624 47.3928289, 30.1969936 47.3927943, 30.1969115 47.3929782))",,,,,,,
