element_type,osmid,name,shop,geometry,amenity,name:ru,operator,phone,website,nodes,addr:city,addr:country,addr:housenumber,addr:region,addr:street,building,tourism,building:levels,smoking,denomination,historic,religion,leisure,opening_hours,abandoned,abandoned:cafe,description,office,branch,brand:wikidata,brand:wikipedia,contact:facebook,contact:instagram,contact:ok,contact:phone,contact:twitter,contact:vk,contact:website,name:en,ref,wheelchair,abandoned:shop,abandoned:building,aeroway,club,power,ways,type
relation,3381483,,,"POLYGON ((37.2455654 58.6494851, 37.2455562 58.6490913, 37.2447293 58.6490966, 37.2447385 58.6494904, 37.2455654 58.6494851), (37.2453335 58.6491992, 37.2453387 58.6494249, 37.2449151 58.6494275, 37.2449099 58.6492018, 37.2453335 58.6491992))",,,,,,"[[[2582206587, 2582206586, 2582206564, 2582206565, 2582206587], [2582206573, 2582206581, 2582206580, 2582206572, 2582206573]]]",,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[252111248, 252111249]",multipolygon
relation,9427301,,,"POLYGON ((37.2535911 58.65122, 37.2535416 58.6512742, 37.2536344 58.6512971, 37.2535886 58.6513472, 37.2536777 58.6513693, 37.2537236 58.651319, 37.2539654 58.6513788, 37.2540147 58.6513247, 37.2535911 58.65122))",,,,,,"[[[2582126969, 2582126973, 6357644685, 6357644688, 6357644687, 6357644686], [6357644686, 2582126996, 2582126987], [2582126987, 2582126969]]]",,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[252095726, 678991611, 678991613]",multipolygon
relation,13398778,,,"POLYGON ((37.2732401 58.6463096, 37.2733071 58.6464107, 37.2735055 58.6463751, 37.2734385 58.646274, 37.2732401 58.6463096))",,,,,,"[[[1373776973, 1373776965, 1373776966, 1373776973], [1373776966, 1373776975, 1373776973, 1373776966]]]",Весьегонск,RU,6;2,Тверская область,Промышленная площадь,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[123184922, 123091501]",multipolygon
way,122378031,Магнит,supermarket,"POLYGON ((37.2645499 58.654834, 37.264417 58.6549961, 37.2649103 58.6551148, 37.2650627 58.6549591, 37.2645499 58.654834))",,,,,,"[1367709623, 1367709232, 1367709273, 1367710070, 1367709623]",Весьегонск,RU,22,Тверская область,Станционная улица,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,122946982,,,"POLYGON ((37.2623967 58.6634178, 37.2624262 58.6634866, 37.2624625 58.6634824, 37.2624979 58.6635654, 37.2624639 58.6635694, 37.2624867 58.6636227, 37.262894 58.6635756, 37.2628723 58.6635247, 37.2628236 58.6635304, 37.262788 58.663447, 37.2628361 58.6634414, 37.2628058 58.6633705, 37.2623967 58.6634178))",community_centre,,,,,"[1372207289, 2587893011, 2587893007, 2587893026, 2587893028, 1372207291, 1372207290, 2587893014, 2587893020, 2587893001, 2587892999, 1372207288, 1372207289]",Весьегонск,RU,8,Тверская область,улица Степанова,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,122946983,Весьегонский краеведческий музей им. А. А. Виноградова,,"POLYGON ((37.262599 58.6642691, 37.2627254 58.6645574, 37.262898 58.6645369, 37.2628882 58.6645145, 37.2629349 58.664509, 37.2629135 58.6644603, 37.2628647 58.6644661, 37.2628336 58.6643952, 37.262966 58.6643795, 37.2629395 58.6643191, 37.2629018 58.6642332, 37.262599 58.6642691))",,,,,https://vk.com/public68974396,"[1372207293, 1372207295, 1372207294, 6166909936, 6166909938, 6166909939, 6166909937, 6166909935, 2582227883, 2582227882, 1372207292, 1372207293]",Весьегонск,RU,97,Тверская область,улица Карла Маркса,yes,museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,122946984,,,"POLYGON ((37.2618701 58.6626048, 37.2620368 58.6625843, 37.2620187 58.6625445, 37.262095 58.6625351, 37.2620543 58.6624453, 37.2618114 58.662475, 37.2618701 58.6626048))",,,,,,"[1372207282, 3017547812, 1372207281, 3017547811, 1372207279, 1372207280, 1372207282]",Весьегонск,RU,111,Тверская область,улица Карла Маркса,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,122946985,,,"POLYGON ((37.2610988 58.6621632, 37.2609385 58.6621817, 37.2609824 58.6622847, 37.260929 58.6622909, 37.2609462 58.6623312, 37.2611599 58.6623065, 37.2610988 58.6621632))",,,,,,"[1372207275, 1372207276, 1372207278, 3017547809, 3017547810, 1372207277, 1372207275]",Весьегонск,RU,17/98,Тверская область,улица Ленина,yes,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,122946986,,,"POLYGON ((37.2574138 58.6782927, 37.2573985 58.6783582, 37.2576461 58.6783738, 37.257675 58.67825, 37.2575316 58.6782409, 37.2575273 58.6782595, 37.2574811 58.6782566, 37.2574718 58.6782963, 37.2574138 58.6782927))",,,,,,"[1372207306, 1372207308, 1372207309, 1372207307, 5710549686, 5710549688, 5710549689, 5710549687, 1372207306]",Весьегонск,RU,18,Тверская область,улица Карла Маркса,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,122946987,,,"POLYGON ((37.2543164 58.6778808, 37.2542578 58.6781088, 37.2544148 58.6781197, 37.2544506 58.6779804, 37.2544998 58.6779838, 37.2545079 58.6779523, 37.2544599 58.677949, 37.2544746 58.6778918, 37.2543164 58.6778808))",,,,,,"[1372207302, 1372207304, 1372207305, 5710601197, 5710601200, 5710601199, 5710601198, 1372207303, 1372207302]",Весьегонск,RU,32А,Тверская область,улица Серова,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
