element_type,osmid,geometry,amenity,building,name,shop,nodes,addr:housenumber,addr:street,addr:postcode,building:levels,description,addr:city,building:flats,start_date,phone,leisure,source:addr,operator,brand,brand:en,brand:wikidata,brand:wikipedia,contact:phone,contact:website,name:en,name:ru,opening_hours,ref,bus,public_transport,railway,architect
way,207889250,"POLYGON ((37.3927532 54.7309572, 37.3937642 54.7310291, 37.3937893 54.7309113, 37.3933919 54.7308831, 37.3934431 54.7306427, 37.3938703 54.7306731, 37.3938951 54.7305568, 37.3928435 54.7304821, 37.3928188 54.7305982, 37.3932273 54.7306272, 37.3931758 54.7308688, 37.3927781 54.7308405, 37.3927532 54.7309572))",school,school,Заокская СОШ имени Бурнаева,,"[2181321340, 2181321343, 2181321336, 2181321334, 2181321327, 2181321328, 2181321321, 2181321317, 2181321325, 2181321326, 2181321332, 2181321330, 2181321340]",7,Северная улица,,,,,,,,,,,,,,,,,,,,,,,,
way,207889252,"POLYGON ((37.3874237 54.7287454, 37.3876219 54.7287585, 37.3875997 54.72887, 37.3878279 54.7288851, 37.3878494 54.7287772, 37.3880242 54.7287888, 37.3880028 54.7288966, 37.3882314 54.7289118, 37.388253 54.7288032, 37.3884393 54.7288155, 37.3884055 54.7289858, 37.3882191 54.7289735, 37.3881981 54.7290794, 37.3879998 54.7290663, 37.3880221 54.7289543, 37.387764 54.7289372, 37.3877414 54.7290506, 37.3875473 54.7290378, 37.3875701 54.728923, 37.3873907 54.7289111, 37.3874237 54.7287454))",kindergarten,yes,Детский сад №3,,"[2181321246, 2181321248, 2181321262, 2181321264, 2181321250, 2181321253, 2181321266, 2181321268, 2181321256, 2181321259, 2181321274, 2181321272, 2181321282, 2181321280, 2181321271, 2181321270, 2181321278, 2181321276, 2181321269, 2181321267, 2181321246]",29А,проезд Саши Чекалина,,,,,,,,,,,,,,,,,,,,,,,,
way,207889255,"POLYGON ((37.3886003 54.7302549, 37.3892111 54.7297077, 37.3893752 54.7297687, 37.3887644 54.730316, 37.3886003 54.7302549))",,apartments,,,"[2181321301, 2181321290, 2181321292, 2181321310, 2181321301]",20,Северная улица,,,,,,,,,,,,,,,,,,,,,,,,
way,207889256,"POLYGON ((37.3958939 54.7358348, 37.3962391 54.735506, 37.3964056 54.7355643, 37.3960603 54.7358931, 37.3958939 54.7358348))",,yes,,,"[2181321383, 2181321381, 2181321382, 2181321384, 2181321383]",49,улица Ленина,,,,,,,,,,,,,,,,,,,,,,,,
way,207889257,"POLYGON ((37.3881015 54.7309172, 37.3886751 54.7303928, 37.3885233 54.7303374, 37.3879496 54.7308619, 37.3881015 54.7309172))",,apartments,,,"[2181321337, 2181321315, 2181321312, 2181321331, 2181321337]",18,Северная улица,,,,,,,,,,,,,,,,,,,,,,,,
way,207891438,"POLYGON ((37.4026455 54.7308069, 37.4026509 54.730712, 37.4033217 54.7307247, 37.4033163 54.7308196, 37.4026455 54.7308069))",,retail,,doityourself,"[2181352577, 2181352560, 2181352571, 2181352580, 2181352577]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,207891439,"POLYGON ((37.3998581 54.7350676, 37.4001593 54.7347382, 37.4002598 54.7347688, 37.4003189 54.7347042, 37.4004922 54.734757, 37.4003954 54.7348629, 37.4003385 54.7348456, 37.4000751 54.7351337, 37.3998581 54.7350676))",,train_station,,,"[2181352608, 2181352594, 2181352600, 2181352591, 2181352597, 2181352606, 2181352603, 2181352610, 2181352608]",,,301000,1,Вокзал станции Тарусской,,,,,,,,,,,,,,,,,,,,,
way,207893866,"POLYGON ((37.3966681 54.7350538, 37.3968414 54.7348525, 37.397024 54.7349049, 37.3968507 54.7351062, 37.3966681 54.7350538))",police,yes,"Отдел полиции ""Заокский""",,"[2181370328, 2181370322, 2181370325, 2181370330, 2181370328]",45,улица Ленина,,,,,,,,,,,,,,,,,,,,,,,,
way,213915676,"POLYGON ((37.3953481 54.73028, 37.3960896 54.7303298, 37.3961093 54.7302319, 37.3953678 54.7301822, 37.3953481 54.73028))",,apartments,,,"[2235611069, 2235611071, 2235611064, 2235611060, 2235611069]",8,проезд Саши Чекалина,,,,Заокский,,,,,,,,,,,,,,,,,,,,
way,213915677,"POLYGON ((37.388991 54.7312193, 37.3891878 54.7312163, 37.3891706 54.7308297, 37.3889738 54.7308326, 37.388991 54.7312193))",,apartments,,,"[2235611139, 2235611138, 2235611100, 2235611102, 2235611139]",14,Северная улица,,,,,,,,,,,,,,,,,,,,,,,,
