element_type,osmid,nodes,building,geometry,addr:RU:egrn,addr:housenumber,addr:street,source:addr
way,510193451,"[4992485454, 4992485453, 4992485452, 4992485451, 4992485450, 4992485449, 4992485454]",yes,"POLYGON ((34.3664519 53.1384752, 34.3665282 53.1383535, 34.3666584 53.1383829, 34.3666068 53.1384651, 34.3665791 53.1384588, 34.3665543 53.1384983, 34.3664519 53.1384752))",,,,
way,510193452,"[4992485458, 4992485457, 4992485456, 4992485455, 4992485458]",yes,"POLYGON ((34.3669482 53.1379635, 34.3669864 53.1378994, 34.3671363 53.1379316, 34.3670981 53.1379957, 34.3669482 53.1379635))",,,,
way,510193453,"[4992485462, 4992485461, 4992485460, 4992485459, 4992485462]",yes,"POLYGON ((34.3669021 53.1377979, 34.3669758 53.1376789, 34.3670825 53.1377026, 34.3670088 53.1378216, 34.3669021 53.1377979))","Брянская область, р-н Брянский, п Свень, пер Луначарского, уч 5/2",5/2,переулок Луначарского,ЕГРН
way,510193454,"[4992485466, 4992485465, 4992485464, 4992485463, 4992485466]",yes,"POLYGON ((34.3666744 53.1381233, 34.3667428 53.1380228, 34.3668743 53.138055, 34.3668059 53.1381555, 34.3666744 53.1381233))","Брянская область, р-н Брянский, п Свень, пер Луначарского, д 3",3,переулок Луначарского,ЕГРН
way,510193455,"[4992485470, 4992485469, 4992485468, 4992485467, 4992485470]",yes,"POLYGON ((34.3683365 53.1387539, 34.3684299 53.1386474, 34.3685442 53.1386835, 34.3684507 53.1387899, 34.3683365 53.1387539))","Брянская область, р-н Брянский, п Свень, ул Свенская, д 12а",12А,Свенская улица,ЕГРН
way,510193456,"[4992485476, 4992485475, 4992485474, 4992485473, 4992485472, 4992485471, 4992485476]",yes,"POLYGON ((34.3663497 53.1387588, 34.36638 53.1387036, 34.3666278 53.1387527, 34.3665768 53.1388454, 34.3663874 53.1388079, 34.366408 53.1387703, 34.3663497 53.1387588))","Брянская область, р-н Брянский, п Свень, ул Луначарского, д 8, кв 2",8,улица Луначарского,ЕГРН
way,510193457,"[4992485480, 4992485479, 4992485478, 4992485477, 4992485480]",yes,"POLYGON ((34.3659541 53.138702, 34.3659982 53.1386251, 34.3662321 53.1386734, 34.3661879 53.1387503, 34.3659541 53.138702))","Российская Федерация, Брянская область, Брянский муниципальный район, Свенское сельское поселение, п. Свень, ул. Луначарского, з/у 6/2",6/2,улица Луначарского,ЕГРН
way,510193458,"[4992485484, 4992485483, 4992485482, 4992485481, 4992485484]",yes,"POLYGON ((34.3654055 53.1385859, 34.365672 53.1386469, 34.3657151 53.1385791, 34.3654486 53.1385181, 34.3654055 53.1385859))","Брянская обл, р-н Брянский, п Свень, ул Луначарского, д 4/2",4/2,улица Луначарского,ЕГРН
way,510193459,"[4992485488, 4992485487, 4992485486, 4992485485, 4992485488]",yes,"POLYGON ((34.3650154 53.1385342, 34.3650565 53.1384417, 34.3647259 53.1383887, 34.3646848 53.1384812, 34.3650154 53.1385342))",,,,
way,510193460,"[4992485494, 4992485493, 4992485492, 4992485491, 4992485490, 4992485489, 4992485494]",yes,"POLYGON ((34.3645365 53.1387094, 34.3646764 53.1387337, 34.3646429 53.1388033, 34.3647431 53.1388207, 34.3648358 53.138628, 34.3645957 53.1385864, 34.3645365 53.1387094))","Брянская обл, р-н Брянский, п Свень, ул Луначарского участок №2 А",2А,улица Луначарского,ЕГРН
way,510193461,"[4992485500, 4992485499, 4992485498, 4992485497, 4992485496, 4992485495, 4992485500]",yes,"POLYGON ((34.3640681 53.1384225, 34.3644157 53.138487, 34.3644913 53.1383402, 34.3643162 53.1383077, 34.3643031 53.1383331, 34.3641307 53.1383011, 34.3640681 53.1384225))","Брянская область, р-н Брянский, п Свень, ул Луначарского, д 2Б",2Б,улица Луначарского,ЕГРН
way,510193462,"[4992485506, 4992485505, 4992485504, 4992485503, 4992485502, 4992485501, 4992485506]",yes,"POLYGON ((34.3618774 53.1410425, 34.3620376 53.1410763, 34.3621175 53.1409402, 34.3620226 53.1409202, 34.3619771 53.1409978, 34.3619118 53.140984, 34.3618774 53.1410425))","Брянская обл, р-н Брянский, п Свень, ул Молодежная, дом 18 ""А""",18А,Молодёжная улица,ЕГРН
way,510193463,"[4992485510, 4992485509, 4992485508, 4992485507, 4992485510]",yes,"POLYGON ((34.3694565 53.1379187, 34.3696273 53.1377054, 34.3699404 53.1377956, 34.3697696 53.1380089, 34.3694565 53.1379187))","Брянская область, р-н Брянский, п Свень, ул Свенская, уч 3",3,Свенская улица,ЕГРН
way,510193464,"[4992485518, 4992485517, 4992485516, 4992485515, 4992485514, 4992485513, 4992485512, 4992485511, 4992485518]",yes,"POLYGON ((34.3625885 53.1389782, 34.3626957 53.1388088, 34.3625609 53.1387781, 34.3628843 53.1382674, 34.363321 53.1383669, 34.3629981 53.1388769, 34.3628696 53.1388476, 34.3627619 53.1390177, 34.3625885 53.1389782))",,9,Молодёжная улица,
way,510193465,"[4992485622, 4992485621, 4992485520, 4992485519, 4992485622]",yes,"POLYGON ((34.3648077 53.1366072, 34.364994 53.1363656, 34.3651653 53.1364131, 34.364979 53.1366547, 34.3648077 53.1366072))","Брянская обл, р-н Брянский, п Свень, ул Молодежная, д 4",4,Молодёжная улица,ЕГРН
