key;count_all;values_all;characters;grade
building;573800799;7664;plain;g
source;259294902;343743;plain;g
highway;244657086;275;plain;g
addr:housenumber;142605533;1531998;colon;g
addr:street;133590292;3504362;colon;g
addr:city;104551449;322251;colon;g
name;97100010;33679346;plain;g
addr:postcode;94593722;1292999;colon;g
natural;62314632;526;plain;g
surface;55550432;8578;plain;g
addr:country;40972833;256;colon;g
landuse;40740623;2200;plain;g
power;33318206;693;plain;g
building:levels;29971412;2462;colon;g
source:date;28433236;19080;colon;g
waterway;26851023;722;plain;g
amenity;24584118;9123;plain;g
service;23525216;3691;plain;g
barrier;22709068;2177;plain;g
oneway;21277521;30;plain;g
addr:state;19670644;1794;colon;g
access;19344337;382;plain;g
height;19151913;162103;plain;g
ref;18097208;3081073;plain;g
maxspeed;17101856;909;plain;g
start_date;16171492;61679;plain;g
lanes;15458453;198;plain;g
tiger:cfcc;12948731;1791;colon;g
tiger:county;12845694;11078;colon;g
wall;12606409;716;plain;g
layer;12275460;338;plain;g
type;11402573;4911;plain;g
tiger:reviewed;11264151;173;colon;g
ref:bag;10809775;10806259;colon;g
operator;10105710;990716;plain;g
source:addr;10029708;5630;colon;g
addr:place;9950068;178176;colon;g
lit;9780786;371;plain;g
addr:district;9396838;15990;colon;g
tracktype;8979385;119;plain;g
leisure;8718316;2155;plain;g
addr:suburb;8457098;62599;colon;g
tiger:name_base;8371116;832425;colon;g
place;8273122;634;plain;g
crossing;8208490;912;plain;g
ele;7949883;213396;plain;g
bicycle;7296775;82;plain;g
tiger:name_type;7215790;1541;colon;g
footway;7052001;419;plain;g
railway;6927346;556;plain;g
foot;6825761;78;plain;g
roof:shape;6627632;961;colon;g
man_made;6564184;3522;plain;g
leaf_type;6431672;425;plain;g
addr:province;6307897;3311;colon;g
created_by;6145532;408;plain;g
bridge;6141683;411;plain;g
source:geometry;6121119;4962;colon;g
source:geometry:date;5964026;5223;colon;g
name:en;5956879;2340941;colon;g
shop;5727241;11099;plain;g
addr:hamlet;5110186;18334;colon;g
intermittent;4994242;108;plain;g
public_transport;4963602;224;plain;g
addr:TW:dataset;4629246;6;letters;g
addr:city:simc;4506571;48793;colon;g
attribution;4375937;3835;plain;g
tunnel;4372314;326;plain;g
nysgissam:nysaddresspointid;4358631;4357938;colon;g
addr:full;4272042;4109682;colon;g
tiger:zip_left;4213218;28128;colon;g
water;4168191;1572;plain;g
addr:conscriptionnumber;4027616;19929;colon;g
ref:bygningsnr;3984224;3982872;colon;g
smoothness;3930855;199;plain;g
tiger:zip_right;3863311;27384;colon;g
addr:neighbourhood;3852065;20866;colon;g
note;3820068;827204;plain;g
leaf_cycle;3807596;83;plain;g
ref:ruian:building;3712846;3701725;colon;g
bus;3670037;208;plain;g
entrance;3641021;164;plain;g
building:ruian:type;3588559;61;colon;g
material;3477385;4010;plain;g
sidewalk;3475230;214;plain;g
import;3381937;50;plain;g
roof:levels;3285250;242;colon;g
tourism;3129946;1519;plain;g
opening_hours;3049997;731049;plain;g
website;3038956;2455991;plain;g
lacounty:bld_id;2953344;2928056;colon;g
lacounty:ain;2952999;1829502;colon;g
building:part;2918804;991;colon;g
width;2904786;6545;plain;g
wikidata;2891726;2288774;plain;g
parking;2839128;762;plain;g
ref:ruian:addr;2818556;2814857;colon;g
addr:municipality;2812966;1480;colon;g
addr:subdistrict;2803085;40313;colon;g
direction;2763815;6401;plain;g
building:units;2733664;479;colon;g
tactile_paving;2708063;135;plain;g
network;2707702;33560;plain;g
gauge;2664774;366;plain;g
wheelchair;2663713;332;plain;g
voltage;2650460;3538;plain;g
addr:district:en;2637576;933;colon;g
tiger:tlid;2634381;2599019;colon;g
tiger:source;2630294;151;colon;g
osak:identifier;2580092;2580092;colon;g
addr:province:en;2539644;140;colon;g
source_ref;2537637;43213;plain;g
sport;2519063;18541;plain;g
phone;2477953;2318507;plain;g
description;2453090;1150076;plain;g
addr:interpolation;2425506;448;colon;g
addr:unit;2423575;71178;colon;g
emergency;2352285;497;plain;g
electrified;2348570;98;plain;g
addr:street:en;2281206;81750;colon;g
boundary;2280950;575;plain;g
tiger:upload_uuid;2265145;3492;colon;g
denotation;2256950;707;plain;g
generator:source;2246331;231;colon;g
yh:WIDTH;2222072;95;letters;g
building:flats;2220946;1435;colon;g
brand;2220142;62012;plain;g
generator:method;2161107;106;colon;g
alt_name;2144939;935711;plain;g
addr:subdistrict:en;2142132;3451;colon;g
ref:linz:address_id;2102861;2102820;colon;g
source:maxspeed;2099287;7269;colon;g
addr:floor;2094815;1684;colon;g
